Wavenumber,Intensity
3999.706,2.324348
4001.634,2.32657
4003.563,2.326511
4005.491,2.3247
4007.42,2.326534
4009.348,2.328501
4011.277,2.331975
4013.205,2.332277
4015.134,2.329757
4017.062,2.334814
4018.991,2.336361
4020.919,2.336004
4022.848,2.335935
4024.776,2.335743
4026.705,2.340252
4028.633,2.34379
4030.562,2.339447
4032.49,2.33732
4034.419,2.340859
4036.347,2.34348
4038.276,2.340009
4040.204,2.340402
4042.133,2.346218
4044.061,2.348133
4045.99,2.345649
4047.918,2.347269
4049.847,2.348125
4051.775,2.350141
4053.704,2.350627
4055.632,2.348441
4057.561,2.351073
4059.489,2.350882
4061.418,2.349624
4063.346,2.352534
4065.275,2.353666
4067.203,2.351737
4069.132,2.347122
4071.06,2.347137
4072.989,2.350329
4074.917,2.356503
4076.846,2.361308
4078.774,2.360168
4080.703,2.359035
4082.631,2.360693
4084.56,2.363651
4086.488,2.367434
4088.417,2.366258
4090.345,2.364111
4092.274,2.364042
4094.202,2.363665
4096.131,2.36237
4098.059,2.36422
4099.988,2.364002
4101.916,2.363842
4103.845,2.366612
4105.773,2.366095
4107.702,2.366318
4109.63,2.365014
4111.559,2.365341
4113.487,2.364455
4115.416,2.368824
4117.344,2.371618
4119.273,2.366211
4121.201,2.366892
4123.13,2.368528
4125.058,2.369843
4126.987,2.367361
4128.915,2.363666
4130.844,2.364753
4132.772,2.368519
4134.701,2.369978
4136.629,2.371977
4138.558,2.371578
4140.486,2.370325
4142.415,2.371863
4144.343,2.373167
4146.271,2.375679
4148.2,2.377319
4150.129,2.373928
4152.057,2.373701
4153.986,2.374732
4155.914,2.37401
4157.843,2.376155
4159.771,2.379754
4161.7,2.380889
4163.628,2.371617
4165.557,2.370901
4167.485,2.377172
4169.414,2.379752
4171.342,2.37969
4173.271,2.379929
4175.199,2.382034
4177.127,2.383307
4179.056,2.384869
4180.985,2.385972
4182.913,2.388417
4184.842,2.391773
4186.77,2.393741
4188.699,2.38944
4190.627,2.391333
4192.556,2.398422
4194.484,2.400519
4196.413,2.401415
4198.341,2.402424
4200.27,2.40363
4202.198,2.408386
4204.126,2.409708
4206.055,2.41074
4207.983,2.411798
4209.912,2.416695
4211.841,2.419127
4213.769,2.419168
4215.698,2.423947
4217.626,2.423001
4219.555,2.425552
4221.483,2.426908
4223.412,2.428197
4225.34,2.429375
4227.269,2.430184
4229.197,2.430935
4231.125,2.431019
4233.054,2.434478
4234.982,2.436415
4236.911,2.437705
4238.84,2.440284
4240.768,2.441582
4242.697,2.441825
4244.625,2.438961
4246.554,2.439704
4248.482,2.441016
4250.411,2.438444
4252.339,2.438618
4254.268,2.440461
4256.196,2.443501
4258.125,2.443983
4260.053,2.445762
4261.981,2.449712
4263.91,2.454747
4265.838,2.456453
4267.767,2.457715
4269.696,2.457595
4271.624,2.455571
4273.553,2.456288
4275.481,2.459978
4277.41,2.459245
4279.338,2.460263
4281.267,2.460723
4283.195,2.458507
4285.124,2.455058
4287.052,2.458734
4288.98,2.462901
4290.909,2.46456
4292.837,2.463721
4294.766,2.462973
4296.694,2.465014
4298.623,2.464537
4300.552,2.463698
4302.48,2.464572
4304.409,2.462078
4306.337,2.46124
4308.266,2.462561
4310.194,2.464911
4312.123,2.465646
4314.051,2.466296
4315.979,2.461586
4317.908,2.460902
4319.836,2.459278
4321.765,2.459102
4323.693,2.459043
4325.622,2.456147
4327.551,2.45668
4329.479,2.459328
4331.408,2.461388
4333.336,2.462108
4335.265,2.464662
4337.193,2.46398
4339.122,2.462385
4341.05,2.463469
4342.979,2.466895
4344.907,2.467296
4346.835,2.467678
4348.764,2.471189
4350.692,2.472389
4352.621,2.470019
4354.549,2.472533
4356.478,2.471262
4358.407,2.470812
4360.335,2.471156
4362.264,2.467408
4364.192,2.47043
4366.121,2.470491
4368.049,2.468497
4369.978,2.465541
4371.906,2.467113
4373.834,2.46984
4375.763,2.470924
4377.691,2.47036
4379.62,2.470139
4381.548,2.471863
4383.477,2.470717
4385.405,2.468987
4387.334,2.46995
4389.263,2.472764
4391.191,2.472714
4393.12,2.472767
4395.048,2.474886
4396.977,2.474548
4398.905,2.472119
4400.833,2.473842
4402.762,2.47701
4404.69,2.477246
4406.619,2.477363
4408.547,2.477248
4410.476,2.475686
4412.404,2.47673
4414.333,2.48279
4416.262,2.485815
4418.19,2.484839
4420.119,2.482655
4422.047,2.484998
4423.976,2.491593
4425.904,2.494112
4427.833,2.494008
4429.761,2.494371
4431.689,2.495409
4433.618,2.496791
4435.546,2.499501
4437.475,2.502408
4439.403,2.504936
4441.332,2.508047
4443.26,2.508646
4445.189,2.508108
4447.117,2.51282
4449.046,2.518082
4450.975,2.522627
4452.903,2.526541
4454.832,2.530474
4456.76,2.535252
4458.688,2.535805
4460.617,2.536832
4462.545,2.538815
4464.474,2.538973
4466.402,2.542936
4468.331,2.547964
4470.259,2.552606
4472.188,2.553821
4474.116,2.553563
4476.045,2.557953
4477.974,2.563023
4479.902,2.5665
4481.831,2.567538
4483.759,2.573147
4485.688,2.575077
4487.616,2.580703
4489.544,2.586728
4491.473,2.587949
4493.401,2.592164
4495.33,2.599207
4497.258,2.600744
4499.187,2.601279
4501.115,2.606902
4503.044,2.612442
4504.972,2.61431
4506.901,2.618278
4508.83,2.621764
4510.758,2.629535
4512.687,2.635599
4514.615,2.638659
4516.543,2.641999
4518.472,2.646557
4520.4,2.653431
4522.329,2.659629
4524.257,2.662962
4526.186,2.667839
