Wavenumber,Intensity
3999.706,2.930411
4001.634,2.93176
4003.563,2.936163
4005.491,2.937146
4007.42,2.9399
4009.348,2.93939
4011.277,2.943376
4013.205,2.943309
4015.134,2.940785
4017.062,2.944774
4018.991,2.949398
4020.919,2.946164
4022.848,2.943532
4024.776,2.945834
4026.705,2.950227
4028.633,2.952722
4030.562,2.947566
4032.49,2.948827
4034.419,2.95305
4036.347,2.954353
4038.276,2.950979
4040.204,2.953996
4042.133,2.958485
4044.061,2.956223
4045.99,2.955302
4047.918,2.958749
4049.847,2.959794
4051.775,2.960128
4053.704,2.956068
4055.632,2.956014
4057.561,2.958798
4059.489,2.959739
4061.418,2.960884
4063.346,2.963426
4065.275,2.964875
4067.203,2.966247
4069.132,2.965393
4071.06,2.964795
4072.989,2.963954
4074.917,2.967068
4076.846,2.969644
4078.774,2.969065
4080.703,2.972588
4082.631,2.969999
4084.56,2.97048
4086.488,2.974906
4088.417,2.975355
4090.345,2.972162
4092.274,2.969955
4094.202,2.970564
4096.131,2.968346
4098.059,2.97015
4099.988,2.972768
4101.916,2.973834
4103.845,2.978475
4105.773,2.978486
4107.702,2.9745
4109.63,2.97233
4111.559,2.971624
4113.487,2.975456
4115.416,2.978935
4117.344,2.976068
4119.273,2.973494
4121.201,2.978466
4123.13,2.980625
4125.058,2.98444
4126.987,2.983289
4128.915,2.980017
4130.844,2.981632
4132.772,2.980973
4134.701,2.981
4136.629,2.981523
4138.558,2.97955
4140.486,2.978621
4142.415,2.98197
4144.343,2.984383
4146.271,2.986107
4148.2,2.985509
4150.129,2.984366
4152.057,2.98781
4153.986,2.987565
4155.914,2.985033
4157.843,2.985252
4159.771,2.988278
4161.7,2.993064
4163.628,2.991095
4165.557,2.988811
4167.485,2.989832
4169.414,2.99156
4171.342,2.995518
4173.271,2.997212
4175.199,2.997439
4177.127,3.001803
4179.056,3.004671
4180.985,3.0004
4182.913,3.00321
4184.842,3.007182
4186.77,3.007243
4188.699,3.006167
4190.627,3.010664
4192.556,3.01487
4194.484,3.015269
4196.413,3.016757
4198.341,3.019192
4200.27,3.02271
4202.198,3.030377
4204.126,3.031268
4206.055,3.033923
4207.983,3.036477
4209.912,3.038313
4211.841,3.04186
4213.769,3.043208
4215.698,3.045048
4217.626,3.045077
4219.555,3.047593
4221.483,3.048357
4223.412,3.048539
4225.34,3.050509
4227.269,3.053
4229.197,3.055444
4231.125,3.055286
4233.054,3.059576
4234.982,3.06128
4236.911,3.061872
4238.84,3.062257
4240.768,3.065027
4242.697,3.065306
4244.625,3.060479
4246.554,3.057858
4248.482,3.058179
4250.411,3.057611
4252.339,3.055553
4254.268,3.05776
4256.196,3.062165
4258.125,3.065961
4260.053,3.067862
4261.981,3.072794
4263.91,3.080251
4265.838,3.08231
4267.767,3.082266
4269.696,3.085961
4271.624,3.085717
4273.553,3.086435
4275.481,3.09023
4277.41,3.089037
4279.338,3.089758
4281.267,3.088651
4283.195,3.089445
4285.124,3.092622
4287.052,3.095232
4288.98,3.096661
4290.909,3.097704
4292.837,3.099209
4294.766,3.101591
4296.694,3.103636
4298.623,3.10387
4300.552,3.101257
4302.48,3.102275
4304.409,3.100009
4306.337,3.098079
4308.266,3.097014
4310.194,3.094336
4312.123,3.094728
4314.051,3.09124
4315.979,3.084346
4317.908,3.083624
4319.836,3.079552
4321.765,3.077543
4323.693,3.07577
4325.622,3.077466
4327.551,3.079528
4329.479,3.082764
4331.408,3.085476
4333.336,3.087216
4335.265,3.090577
4337.193,3.092293
4339.122,3.093158
4341.05,3.095693
4342.979,3.096736
4344.907,3.098767
4346.835,3.10157
4348.764,3.103875
4350.692,3.103262
4352.621,3.101782
4354.549,3.10737
4356.478,3.108282
4358.407,3.109565
4360.335,3.112793
4362.264,3.113441
4364.192,3.113178
4366.121,3.111249
4368.049,3.113904
4369.978,3.111652
4371.906,3.111813
4373.834,3.116051
4375.763,3.115852
4377.691,3.115782
4379.62,3.114186
4381.548,3.115417
4383.477,3.11788
4385.405,3.116155
4387.334,3.118496
4389.263,3.122554
4391.191,3.12373
4393.12,3.125053
4395.048,3.128443
4396.977,3.128562
4398.905,3.12996
4400.833,3.133323
4402.762,3.136319
4404.69,3.140153
4406.619,3.144902
4408.547,3.149948
4410.476,3.15268
4412.404,3.155018
4414.333,3.163001
4416.262,3.169523
4418.19,3.17408
4420.119,3.177907
4422.047,3.182401
4423.976,3.191133
4425.904,3.203697
4427.833,3.211464
4429.761,3.21767
4431.689,3.222939
4433.618,3.232147
4435.546,3.241387
4437.475,3.250365
4439.403,3.258004
4441.332,3.264985
4443.26,3.273812
4445.189,3.28388
4447.117,3.293737
4449.046,3.304588
4450.975,3.318136
4452.903,3.32745
4454.832,3.337685
4456.76,3.348003
4458.688,3.356844
4460.617,3.362988
4462.545,3.373347
4464.474,3.384407
4466.402,3.398158
4468.331,3.411951
4470.259,3.422287
4472.188,3.429604
4474.116,3.435778
4476.045,3.448251
4477.974,3.460977
4479.902,3.471359
4481.831,3.482197
4483.759,3.491971
4485.688,3.501511
4487.616,3.511905
4489.544,3.522038
4491.473,3.53312
4493.401,3.544644
4495.33,3.558419
4497.258,3.566477
4499.187,3.573157
4501.115,3.587503
4503.044,3.60199
4504.972,3.612053
4506.901,3.623338
4508.83,3.636785
4510.758,3.649285
4512.687,3.662115
4514.615,3.672266
4516.543,3.681636
4518.472,3.695105
4520.4,3.708287
4522.329,3.721462
4524.257,3.734295
4526.186,3.745523
4528.114,3.758903
4530.043,3.773687
4531.971,3.784503
4533.9,3.79508
4535.828,3.811866
4537.757,3.828598
4539.686,3.841705
4541.614,3.852853
4543.542,3.868922
4545.471,3.882169
4547.399,3.897001
4549.328,3.912643
4551.256,3.925985
4553.185,3.940887
4555.113,3.958537
4557.042,3.975655
4558.97,3.989122
4560.899,4.004725
4562.827,4.01867
4564.756,4.034174
4566.685,4.04407
4568.613,4.057068
4570.542,4.069142
4572.47,4.078584
4574.398,4.091141
4576.327,4.101085
4578.255,4.111001
4580.184,4.122932
4582.112,4.133544
4584.041,4.142247
4585.969,4.150103
4587.898,4.158481
4589.826,4.16742
4591.755,4.177001
4593.683,4.185546
4595.612,4.19045
4597.54,4.199363
4599.469,4.207194
4601.397,4.215407
4603.326,4.222127
4605.254,4.228458
4607.183,4.231684
4609.111,4.236758
4611.04,4.24188
4612.968,4.246061
4614.897,4.252239
4616.825,4.259823
4618.754,4.266922
4620.682,4.273933
4622.611,4.283659
4624.539,4.289812
4626.468,4.293955
4628.396,4.300751
4630.325,4.303813
4632.253,4.305773
4634.182,4.309107
