Wavenumber,Intensity
3999.706,3.368969
4001.634,3.368157
4003.563,3.364608
4005.491,3.366747
4007.42,3.370377
4009.348,3.369091
4011.277,3.36611
4013.205,3.363272
4015.134,3.35784
4017.062,3.35984
4018.991,3.359089
4020.919,3.357722
4022.848,3.353292
4024.776,3.357214
4026.705,3.361285
4028.633,3.362846
4030.562,3.360246
4032.49,3.361556
4034.419,3.367003
4036.347,3.366721
4038.276,3.362091
4040.204,3.364414
4042.133,3.366948
4044.061,3.368167
4045.99,3.36738
4047.918,3.369034
4049.847,3.371428
4051.775,3.369514
4053.704,3.367417
4055.632,3.36528
4057.561,3.366002
4059.489,3.366204
4061.418,3.366349
4063.346,3.368728
4065.275,3.371843
4067.203,3.371544
4069.132,3.37026
4071.06,3.370287
4072.989,3.371369
4074.917,3.375643
4076.846,3.376147
4078.774,3.37238
4080.703,3.370207
4082.631,3.369053
4084.56,3.371053
4086.488,3.373727
4088.417,3.371898
4090.345,3.368283
4092.274,3.367086
4094.202,3.3696
4096.131,3.370736
4098.059,3.373036
4099.988,3.371371
4101.916,3.370192
4103.845,3.373809
4105.773,3.373259
4107.702,3.371106
4109.63,3.371319
4111.559,3.369921
4113.487,3.37257
4115.416,3.375721
4117.344,3.380243
4119.273,3.376597
4121.201,3.376446
4123.13,3.379696
4125.058,3.382189
4126.987,3.379197
4128.915,3.380005
4130.844,3.380833
4132.772,3.378513
4134.701,3.377964
4136.629,3.379423
4138.558,3.382128
4140.486,3.382473
4142.415,3.383855
4144.343,3.386176
4146.271,3.384758
4148.2,3.381591
4150.129,3.381671
4152.057,3.38568
4153.986,3.388371
4155.914,3.385237
4157.843,3.385044
4159.771,3.387378
4161.7,3.389583
4163.628,3.385709
4165.557,3.385373
4167.485,3.390153
4169.414,3.390993
4171.342,3.394281
4173.271,3.39644
4175.199,3.397171
4177.127,3.399862
4179.056,3.399613
4180.985,3.401875
4182.913,3.406073
4184.842,3.405506
4186.77,3.405219
4188.699,3.407206
4190.627,3.41149
4192.556,3.417415
4194.484,3.416066
4196.413,3.413298
4198.341,3.418059
4200.27,3.425229
4202.198,3.429322
4204.126,3.432867
4206.055,3.438876
4207.983,3.442819
4209.912,3.445069
4211.841,3.446046
4213.769,3.447336
4215.698,3.4502
4217.626,3.449203
4219.555,3.452654
4221.483,3.455843
4223.412,3.459205
4225.34,3.461238
4227.269,3.462502
4229.197,3.466592
4231.125,3.468229
4233.054,3.471247
4234.982,3.470496
4236.911,3.472463
4238.84,3.474604
4240.768,3.473282
4242.697,3.468529
4244.625,3.463211
4246.554,3.462317
4248.482,3.460647
4250.411,3.461115
4252.339,3.460478
4254.268,3.46086
4256.196,3.468743
4258.125,3.474503
4260.053,3.47943
4261.981,3.483526
4263.91,3.489119
4265.838,3.492454
4267.767,3.496687
4269.696,3.498234
4271.624,3.498189
4273.553,3.502163
4275.481,3.507551
4277.41,3.509391
4279.338,3.513146
4281.267,3.513222
4283.195,3.512543
4285.124,3.512432
4287.052,3.515843
4288.98,3.519855
4290.909,3.523843
4292.837,3.524542
4294.766,3.526423
4296.694,3.525543
4298.623,3.525176
4300.552,3.52555
4302.48,3.521578
4304.409,3.51736
4306.337,3.512119
4308.266,3.507514
4310.194,3.50292
4312.123,3.502858
4314.051,3.497057
4315.979,3.486635
4317.908,3.481349
4319.836,3.477576
4321.765,3.474934
4323.693,3.473182
4325.622,3.477358
4327.551,3.483209
4329.479,3.485258
4331.408,3.487229
4333.336,3.492477
4335.265,3.496845
4337.193,3.498168
4339.122,3.49917
4341.05,3.501463
4342.979,3.505684
4344.907,3.511088
4346.835,3.514751
4348.764,3.521758
4350.692,3.527195
4352.621,3.527672
4354.549,3.533464
4356.478,3.535805
4358.407,3.53814
4360.335,3.542808
4362.264,3.546048
4364.192,3.550835
4366.121,3.550786
4368.049,3.55136
4369.978,3.554991
4371.906,3.561589
4373.834,3.566176
4375.763,3.57031
4377.691,3.573357
4379.62,3.575967
4381.548,3.583287
4383.477,3.589272
4385.405,3.591772
4387.334,3.597877
4389.263,3.607108
4391.191,3.618508
4393.12,3.629478
4395.048,3.642443
4396.977,3.651094
4398.905,3.661726
4400.833,3.678143
4402.762,3.692715
4404.69,3.707473
4406.619,3.728506
4408.547,3.74691
4410.476,3.76168
4412.404,3.779538
4414.333,3.799844
4416.262,3.817074
4418.19,3.834028
4420.119,3.850173
4422.047,3.867522
4423.976,3.885355
4425.904,3.90253
4427.833,3.91673
4429.761,3.930007
4431.689,3.944247
4433.618,3.959901
4435.546,3.972821
4437.475,3.988118
4439.403,4.000365
4441.332,4.013873
4443.26,4.033292
