Wavenumber,Intensity
3999.706,3.220471
4001.634,3.22306
4003.563,3.223362
4005.491,3.22457
4007.42,3.231173
4009.348,3.230524
4011.277,3.22659
4013.205,3.229849
4015.134,3.227065
4017.062,3.227822
4018.991,3.227213
4020.919,3.223926
4022.848,3.223259
4024.776,3.224743
4026.705,3.227013
4028.633,3.224572
4030.562,3.220245
4032.49,3.222984
4034.419,3.228754
4036.347,3.227056
4038.276,3.220903
4040.204,3.222245
4042.133,3.221295
4044.061,3.219079
4045.99,3.21081
4047.918,3.203937
4049.847,3.199068
4051.775,3.197844
4053.704,3.19768
4055.632,3.194143
4057.561,3.190761
4059.489,3.186912
4061.418,3.187582
4063.346,3.192831
4065.275,3.201488
4067.203,3.206221
4069.132,3.201546
4071.06,3.203195
4072.989,3.208668
4074.917,3.214664
4076.846,3.21839
4078.774,3.217194
4080.703,3.21965
4082.631,3.224711
4084.56,3.230117
4086.488,3.235328
4088.417,3.238597
4090.345,3.236528
4092.274,3.236479
4094.202,3.241013
4096.131,3.240488
4098.059,3.238455
4099.988,3.236286
4101.916,3.239273
4103.845,3.239084
4105.773,3.236049
4107.702,3.232689
4109.63,3.231557
4111.559,3.233042
4113.487,3.234288
4115.416,3.232286
4117.344,3.228891
4119.273,3.226648
4121.201,3.231552
4123.13,3.232849
4125.058,3.236537
4126.987,3.237208
4128.915,3.23438
4130.844,3.234671
4132.772,3.236141
4134.701,3.238417
4136.629,3.23967
4138.558,3.240812
4140.486,3.242361
4142.415,3.243072
4144.343,3.243271
4146.271,3.242826
4148.2,3.239802
4150.129,3.237593
4152.057,3.238789
4153.986,3.238227
4155.914,3.237981
4157.843,3.238408
4159.771,3.238792
4161.7,3.242071
4163.628,3.237639
4165.557,3.232704
4167.485,3.237269
4169.414,3.241499
4171.342,3.24379
4173.271,3.24467
4175.199,3.247089
4177.127,3.250934
4179.056,3.253244
4180.985,3.255708
4182.913,3.259232
4184.842,3.261133
4186.77,3.262105
4188.699,3.264407
4190.627,3.27001
4192.556,3.272022
4194.484,3.267767
4196.413,3.264546
4198.341,3.269532
4200.27,3.274422
4202.198,3.274789
4204.126,3.274316
4206.055,3.27612
4207.983,3.278605
4209.912,3.280549
4211.841,3.279811
4213.769,3.279136
4215.698,3.282591
4217.626,3.285982
4219.555,3.286933
4221.483,3.288537
4223.412,3.292571
4225.34,3.294674
4227.269,3.291583
4229.197,3.292502
4231.125,3.293027
4233.054,3.292754
4234.982,3.291509
4236.911,3.289067
4238.84,3.287321
4240.768,3.289255
4242.697,3.289176
4244.625,3.288275
4246.554,3.291986
4248.482,3.296419
4250.411,3.29743
4252.339,3.299018
4254.268,3.300281
4256.196,3.304613
4258.125,3.30639
4260.053,3.307861
4261.981,3.314954
4263.91,3.324114
4265.838,3.325952
4267.767,3.326814
4269.696,3.330373
4271.624,3.330528
4273.553,3.329576
4275.481,3.332083
4277.41,3.333404
4279.338,3.335311
4281.267,3.334205
4283.195,3.333264
4285.124,3.333413
4287.052,3.334604
4288.98,3.337748
4290.909,3.338897
4292.837,3.338389
4294.766,3.336987
4296.694,3.334051
4298.623,3.330541
4300.552,3.328624
4302.48,3.325112
4304.409,3.319165
4306.337,3.318308
4308.266,3.320669
4310.194,3.322411
4312.123,3.322156
4314.051,3.320431
4315.979,3.317055
4317.908,3.318545
4319.836,3.319444
4321.765,3.318949
4323.693,3.317507
4325.622,3.316249
4327.551,3.314231
4329.479,3.314604
4331.408,3.318674
4333.336,3.324902
4335.265,3.331201
4337.193,3.335307
4339.122,3.335825
4341.05,3.339426
4342.979,3.347186
4344.907,3.353145
4346.835,3.362995
4348.764,3.374912
4350.692,3.378834
4352.621,3.378851
4354.549,3.385685
4356.478,3.390027
4358.407,3.393533
4360.335,3.393989
4362.264,3.392175
4364.192,3.395052
4366.121,3.393309
4368.049,3.391065
4369.978,3.386656
4371.906,3.384671
4373.834,3.386121
4375.763,3.382474
4377.691,3.373897
4379.62,3.373347
4381.548,3.377477
4383.477,3.373168
4385.405,3.365387
4387.334,3.362865
4389.263,3.362266
4391.191,3.359812
4393.12,3.358943
4395.048,3.362556
4396.977,3.367093
4398.905,3.37327
4400.833,3.382355
4402.762,3.39031
4404.69,3.394375
4406.619,3.402102
4408.547,3.408261
4410.476,3.413872
4412.404,3.425143
4414.333,3.441338
4416.262,3.457484
4418.19,3.475491
4420.119,3.49599
4422.047,3.521188
4423.976,3.554532
4425.904,3.592709
4427.833,3.633092
4429.761,3.679649
4431.689,3.73308
4433.618,3.793464
4435.546,3.856441
4437.475,3.921957
4439.403,3.98581
4441.332,4.05194
4443.26,4.118772
4445.189,4.182211
4447.117,4.245924
4449.046,4.308909
4450.975,4.367904
4452.903,4.422589
4454.832,4.480656
4456.76,4.535983
4458.688,4.580441
4460.617,4.624776
4462.545,4.671598
4464.474,4.712697
4466.402,4.750056
4468.331,4.784312
4470.259,4.819353
4472.188,4.84707
4474.116,4.874247
4476.045,4.907689
4477.974,4.935593
4479.902,4.959076
4481.831,4.983696
4483.759,5.007183
4485.688,5.023092
4487.616,5.039133
4489.544,5.054474
4491.473,5.068701
4493.401,5.08253
4495.33,5.098752
4497.258,5.109956
4499.187,5.117517
4501.115,5.128352
4503.044,5.139344
4504.972,5.148517
4506.901,5.160438
4508.83,5.172165
4510.758,5.187803
4512.687,5.204508
4514.615,5.216535
4516.543,5.22652
4518.472,5.238883
4520.4,5.252653
4522.329,5.266979
4524.257,5.284148
4526.186,5.29813
4528.114,5.30706
4530.043,5.317395
4531.971,5.33204
4533.9,5.34478
4535.828,5.356191
4537.757,5.365529
4539.686,5.371727
4541.614,5.374552
4543.542,5.379337
4545.471,5.380656
4547.399,5.384592
4549.328,5.386442
4551.256,5.38563
4553.185,5.386487
4555.113,5.391129
4557.042,5.395881
4558.97,5.401157
4560.899,5.403841
4562.827,5.411344
4564.756,5.424777
4566.685,5.434875
4568.613,5.448495
4570.542,5.461877
4572.47,5.479412
4574.398,5.506459
4576.327,5.534345
4578.255,5.562647
4580.184,5.593543
4582.112,5.628648
4584.041,5.666435
4585.969,5.705832
4587.898,5.746222
4589.826,5.788282
4591.755,5.82958
4593.683,5.872258
4595.612,5.911455
4597.54,5.956252
4599.469,5.996334
4601.397,6.031599
4603.326,6.065308
4605.254,6.099835
4607.183,6.129226
4609.111,6.154545
4611.04,6.177305
4612.968,6.194965
4614.897,6.214633
4616.825,6.238647
4618.754,6.254829
4620.682,6.269613
4622.611,6.286513
4624.539,6.297979
4626.468,6.311704
4628.396,6.329434
4630.325,6.345485
4632.253,6.359547
4634.182,6.371541
4636.11,6.389504
4638.039,6.409278
4639.967,6.430884
4641.896,6.450829
4643.824,6.468936
4645.753,6.490725
4647.681,6.514029
4649.61,6.537143
4651.538,6.56104
4653.467,6.581733
4655.396,6.603336
4657.324,6.627185
4659.252,6.647206
4661.181,6.668197
4663.109,6.692282
4665.038,6.71567
4666.966,6.738794
4668.895,6.764666
4670.823,6.788363
4672.752,6.809459
4674.68,6.829885
4676.609,6.853603
4678.537,6.869928
4680.466,6.883835
4682.394,6.896575
4684.323,6.90919
4686.251,6.921343
4688.18,6.931557
4690.108,6.940629
4692.037,6.948341
4693.965,6.953693
4695.894,6.96139
4697.822,6.97291
4699.751,6.979054
4701.679,6.984241
4703.608,6.990948
4705.536,7.000735
4707.465,7.008196
4709.393,7.012722
4711.322,7.017139
4713.25,7.018283
4715.179,7.019451
4717.107,7.021353
4719.036,7.021424
4720.964,7.02196
4722.893,7.024424
4724.821,7.024213
4726.75,7.024644
4728.678,7.025018
4730.606,7.023909
4732.535,7.026612
4734.464,7.034607
4736.392,7.041027
4738.321,7.047632
4740.249,7.054996
4742.178,7.056658
4744.106,7.057205
4746.035,7.057969
4747.963,7.055993
4749.892,7.051611
4751.82,7.046741
4753.749,7.037186
4755.677,7.025395
4757.605,7.01431
4759.534,7.002215
4761.463,6.990148
4763.391,6.981199
4765.32,6.973012
4767.248,6.965144
4769.177,6.958429
4771.105,6.947476
4773.034,6.937948
4774.962,6.926548
4776.891,6.915604
4778.819,6.904363
4780.748,6.893399
4782.676,6.881612
4784.604,6.867895
4786.533,6.860617
4788.462,6.854807
4790.39,6.84892
4792.319,6.847327
4794.247,6.846228
4796.176,6.846859
4798.104,6.850674
4800.033,6.848654
4801.961,6.846252
4803.89,6.847306
4805.818,6.84782
4807.747,6.846187
4809.675,6.847697
4811.604,6.847233
4813.532,6.846856
4815.46,6.848445
4817.389,6.847973
4819.317,6.850252
4821.246,6.853086
4823.175,6.854589
4825.103,6.86027
4827.032,6.869276
4828.96,6.870726
4830.889,6.869087
4832.817,6.866552
4834.746,6.863767
4836.674,6.861182
4838.603,6.85462
4840.531,6.845676
4842.459,6.837658
4844.388,6.832152
4846.316,6.830133
4848.245,6.826809
4850.174,6.825075
4852.102,6.82506
4854.031,6.827415
4855.959,6.830782
4857.888,6.831255
4859.816,6.836953
4861.745,6.849041
4863.673,6.858443
4865.602,6.866389
4867.53,6.873459
4869.458,6.884485
4871.387,6.894379
4873.315,6.903549
4875.244,6.914928
4877.172,6.920726
4879.101,6.926893
4881.03,6.931911
4882.958,6.936193
4884.887,6.939936
4886.815,6.94385
4888.744,6.946356
4890.672,6.952768
4892.601,6.960429
4894.529,6.963118
4896.458,6.96142
4898.386,6.960968
4900.314,6.962504
4902.243,6.959763
4904.171,6.955856
4906.1,6.952617
4908.028,6.944554
4909.957,6.937608
4911.886,6.934077
4913.814,6.929739
4915.743,6.924107
4917.671,6.918348
4919.6,6.914056
4921.528,6.915222
4923.457,6.914246
4925.385,6.909858
4927.313,6.904243
4929.242,6.902334
